Feature,T2DM,NON-T2DM,p-value
n_23098_0_0,87.0 [76.0-99.4],75.8 [66.0-85.9],0.0
n_23104_0_0,30.4 [27.3-34.2],26.5 [24.0-29.4],0.0
n_30000_0_0,7.28 [6.34-8.6],6.6 [5.64-7.7],0.0
n_30010_0_0,4.61 [4.39-4.9],4.5 [4.24-4.761],0.0
n_30040_0_0,90.9 [87.91-93.27],91.26 [88.8-93.79],5.943654910674071e-128
n_30070_0_0,13.4 [13.01-14.0],13.33 [12.9-13.8],3.1160921767320797e-148
n_30120_0_0,2.01 [1.7-2.5],1.88 [1.52-2.23],0.0
n_30080_0_0,248.0 [211.0-284.9],248.0 [215.9-284.8],1.0841252478184207e-11
n_30140_0_0,4.38 [3.7-5.41],4.0 [3.29-4.83],0.0
n_30250_0_0,0.068 [0.056-0.087],0.056 [0.043-0.071],0.0
n_30600_0_0,45.22 [43.58-46.45],45.22 [43.85-46.62],1.2337361558704281e-30
n_30610_0_0,83.6 [73.3-100.7],80.1 [67.8-93.8],0.0
n_30650_0_0,25.3 [22.3-31.3],24.3 [21.2-28.2],0.0
n_30660_0_0,1.61 [1.41-1.97],1.61 [1.38-1.93],1.2774845226708523e-17
n_30670_0_0,5.29 [4.66-6.27],5.25 [4.53-6.03],5.876059619084317e-92
n_30680_0_0,2.375 [2.336-2.434],2.375 [2.329-2.423],9.53948182083498e-36
n_30690_0_0,5.346 [4.456-6.035],5.688 [5.05-6.401],0.0
n_30700_0_0,71.0 [63.6-82.2],70.3 [61.9-79.7],1.0489627956167178e-91
n_30710_0_0,2.05 [1.21-4.29],1.31 [0.67-2.46],0.0
n_30730_0_0,35.6 [26.0-56.1],26.0 [18.6-37.8],0.0
n_30740_0_0,5.185 [4.913-6.048],4.913 [4.643-5.174],0.0
n_30750_0_0,40.9 [36.9-45.9],35.1 [32.7-37.0],0.0
n_30760_0_0,1.246 [1.042-1.409],1.409 [1.233-1.641],0.0
n_30780_0_0,3.354 [2.672-3.888],3.545 [3.049-4.095],0.0
n_30840_0_0,8.08 [6.34-9.95],8.08 [6.57-10.2],8.307592730464065e-29
n_30860_0_0,72.31 [70.67-75.0],72.31 [70.2-74.48],1.259520554354092e-60
n_30870_0_0,1.913 [1.469-2.751],1.469 [1.053-2.021],0.0
NLR,2.133333333 [1.691860465-2.75],2.133333333 [1.6875-2.714285714],0.01115494150369262
PLR,121.7647059 [95.0617284-147.1875],132.7860697 [108.1818182-165.5],0.0
SII,528.09343 [391.7185185-705.7880597],528.09343 [399.67782262500003-700.6375058250001],0.07861787605195708
LMR,4.2 [3.242105263-5.285714286],4.2 [3.315789474-5.290322581],8.226800404819579e-05
NPR,0.017826087 [0.014747931-0.022626829],0.016161616 [0.012962963-0.0199117],0.0
CAR,0.040179627 [0.02849861-0.089577329],0.0289791915 [0.015842432-0.05074738875],0.0
Tyg,8.970412158 [8.662998479-9.423053437],8.662998479 [8.34980498125-8.948991598500001],0.0
CALLY,5.458444444 [2.354469799-7.094434783],6.441832461 [3.74286536325-11.40421283],0.0
CLR,0.942028986 [0.595454545-2.037037037],0.7 [0.36875-1.295652174],0.0
PAR,5.484452456 [4.798619102-6.191011236],5.484452456 [4.86678312025-6.171870427],0.0021106734442542198
age,62.0 [56.0-67.0],59.0 [52.0-65.0],0.0
time_0,2369.0 [1316.0-3323.0],2369.0 [2369.0-2369.0],0.8885179075059104
Sex,NON-T2DM,T2DM,0.0
